"part","term","statistic","(1)","(2)","(3)","(4)","(5)"
"estimates","(Intercept)","estimate","-0.181","-0.045","-0.091","-0.181","1.449"
"estimates","(Intercept)","std.error","(0.250)","(0.225)","(0.238)","(0.223)","(0.682)"
"estimates","L_inf4","estimate","0.059","-0.299","0.210","0.045","0.095"
"estimates","L_inf4","std.error","(0.086)","(0.150)","(0.112)","(0.079)","(0.086)"
"estimates","L_inf","estimate","","0.318","","",""
"estimates","L_inf","std.error","","(0.149)","","",""
"estimates","L_tb3ms","estimate","","","-0.125","",""
"estimates","L_tb3ms","std.error","","","(0.067)","",""
"estimates","LD_oilP","estimate","","","","1.603",""
"estimates","LD_oilP","std.error","","","","(0.769)",""
"estimates","L_unrate","estimate","","","","","-0.281"
"estimates","L_unrate","std.error","","","","","(0.118)"
"gof","Num.Obs.","","179","178","178","177","178"
"gof","R2","","0.010","0.109","0.054","0.046","0.148"
"gof","R2 Adj.","","0.004","0.099","0.044","0.035","0.138"
"gof","AIC","","578.4","557.7","568.3","565.0","549.7"
"gof","BIC","","584.8","567.2","577.8","574.5","559.3"
"gof","RMSE","","1.20","1.14","1.17","1.17","1.11"
"gof","Std.Errors","","Newey-West (L=5)","Newey-West (L=5)","Newey-West (L=5)","Newey-West (L=5)","Newey-West (L=5)"
